Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
02/20/2022,1477125,0.67,571789,0.59,55015,0.7,54863,0.6,11017,0.65,768971,1.02,1517,0.54
02/21/2022,1942267,0.89,873961,0.89,109882,1.41,63892,0.7,12500,0.74,816227,1.08,2781,0.99
02/22/2022,2669508,0.49,1143526,0.53,135406,0.45,112764,0.42,19233,0.65,846877,0.96,5767,0.36
02/23/2022,2894245,0.53,1247209,0.58,140229,0.46,119188,0.44,23807,0.81,892767,1.01,6116,0.38
02/24/2022,2858146,0.53,1196924,0.56,132496,0.44,110395,0.41,21868,0.74,911720,1.03,5879,0.36
02/25/2022,2575630,0.47,1027563,0.48,114658,0.38,90953,0.34,18740,0.64,794852,0.9,4544,0.28
02/26/2022,1824833,0.64,775358,0.61,71783,0.77,61573,0.47,12226,0.75,847294,1.02,2012,0.47
02/27/2022,1403227,0.64,604646,0.62,62913,0.81,51604,0.57,11337,0.67,802377,1.06,1523,0.54
02/28/2022,2915786,0.54,1362855,0.63,134902,0.45,118572,0.44,21929,0.75,859177,0.97,6170,0.38
03/01/2022,3138181,0.56,1435834,0.64,165769,0.53,150787,0.55,22944,0.77,873348,0.95,6655,0.42
03/02/2022,3208166,0.58,1463263,0.65,159238,0.51,140945,0.51,24289,0.82,896503,0.97,6680,0.42
03/03/2022,3207495,0.58,1434851,0.64,152883,0.49,132506,0.48,23800,0.8,923154,1,6674,0.42
03/04/2022,3077537,0.55,1363159,0.61,145518,0.46,125143,0.45,22821,0.77,957694,1.04,5807,0.36
03/05/2022,1955535,0.64,812774,0.61,69010,0.64,70427,0.52,13269,0.78,865292,0.99,2116,0.42
03/06/2022,1444501,0.63,600501,0.6,53034,0.61,52874,0.56,12557,0.71,787598,0.98,1550,0.49
03/07/2022,2980920,0.54,1395540,0.62,153907,0.49,129784,0.47,22465,0.76,861409,0.93,6161,0.39
03/08/2022,3244473,0.58,1456451,0.65,158652,0.51,138811,0.5,24076,0.81,894132,0.97,6923,0.43
03/09/2022,3113559,0.56,1338822,0.6,153393,0.49,129056,0.47,23477,0.79,832720,0.9,6200,0.39
03/10/2022,3339363,0.6,1476288,0.66,163931,0.52,140107,0.51,24515,0.82,945191,1.03,6914,0.43
03/11/2022,3195956,0.57,1419371,0.63,158985,0.51,135371,0.49,23736,0.8,986555,1.07,6150,0.39
03/12/2022,1663893,0.54,637601,0.48,51679,0.48,59927,0.44,10655,0.63,669502,0.77,1748,0.35
03/13/2022,1479406,0.65,590753,0.59,59964,0.69,57548,0.61,11491,0.65,792377,0.98,1524,0.48
03/14/2022,3008800,0.54,1406578,0.63,159962,0.51,134093,0.49,22480,0.76,879699,0.95,6416,0.4
